7896727918963;COD_LST;COD_NBS;ID_ESTOQUE;DESCRICAO;UNI_MEDIDA;PRC_CUSTO;PRC_VENDA;UTL_VENDA;MARGEM_LB;POR_COMISSAO;ULT_FORNEC;NOME;ID_TIPOITEM;TIPO_ITEM;ADICIONAL1;ADICIONAL2;ID_INDEXADOR;INDEXADOR;ID_GRUPO;GRUPO;DESC_CMPL;COD_BARRA;REFERENCIA;PRC_MEDIO;QTD_ATUAL;QTD_MINIM;QTD_INICIO;ULT_COMPRA;PESO;IPI;CF;CST;CST_IPI;CST_PIS;CST_COFINS;PIS;COFINS;IAT;IPPT;COD_NCM;CSOSN;MVA;ID_NIVEL1;NIVEL1;ID_NIVEL2;NIVEL2;TAXA_ICMS;GRADE_SERIE;ISS_ALIQ;ANP;FCI;PRC_ATACADO;CFOP_NF;CFOP_CF;COD_CEST;CENQ;OBSERVACAO
643;;;643;GEL PSIU PINK HARD III 25G;UN;26,33;44,9;03/03/2022;;;86;LOJA DA VIVI SV LTDA;0;Mercadoria para revenda;;;;;64;UNHA;;7908334501756;17908334501753;25,37;7;0;0;30/10/2021;0;0;;41;53;6;6;0;0;A;T;33043000;102;0;;;;;;N;;;;;5102;5102;2001200;999;Cadastro inclu�do automaticamente, atrav�s de arquivo XML (NFe). Nota fiscal/S�rie: 3062/3
644;;;644;Psiu - Gel Nude 25g;UN;23,94;44,9;24/04/2021;;;28;UNIQUE NAIL COSMETICOS LTDA EPP;0;Mercadoria para revenda;;;;;;;;;;23,94;0;1;0;01/02/2021;0;;;41;53;99;99;;;A;T;33043000;102;0;;;;;FFF;N;;;;;5102;5102;2001200;999;Cadastro inclu�do automaticamente, atrav�s de arquivo XML (NFe). Nota fiscal/S�rie: 3062/3
645;;;645;Psiu - Gel Base 20g;UN;23,94;44,9;18/06/2021;;;28;UNIQUE NAIL COSMETICOS LTDA EPP;0;Mercadoria para revenda;;;;;;;;;;23,94;0;1;0;01/02/2021;0;;;41;53;99;99;;;A;T;33043000;102;0;;;;;FFF;N;;;;;5102;5102;2001200;999;Cadastro inclu�do automaticamente, atrav�s de arquivo XML (NFe). Nota fiscal/S�rie: 3062/3
646;;;646;GEL PSIU PINK NUDE 25g;UN;26,33;44,9;28/07/2022;;;86;LOJA DA VIVI SV LTDA;0;Mercadoria para revenda;;;;;;;;7908334502562;17908334502569;25,2;0;0;0;30/10/2021;0;;;41;53;99;99;;;A;T;33043000;102;0;;;;;;N;;;;;5102;5102;2001200;999;Cadastro inclu�do automaticamente, atrav�s de arquivo XML (NFe). Nota fiscal/S�rie: 3062/3
647;;;647;Psiu - Cleansing 120 ML;UN;8,94;14,9;25/07/2022;;;28;UNIQUE NAIL COSMETICOS LTDA EPP;0;Mercadoria para revenda;;;;;64;UNHA;;7908334500681;;8,94;5;0;0;01/02/2021;0;0;;41;53;6;6;0;0;A;T;33043000;102;0;;;;;;N;;;;;5102;5102;2001200;999;Cadastro inclu�do automaticamente, atrav�s de arquivo XML (NFe). Nota fiscal/S�rie: 3062/3
648;;;648;PREP PSIU 120ml;UN;8;14,9;01/10/2022;;;86;LOJA DA VIVI SV LTDA;0;Mercadoria para revenda;;;;;64;UNHA;;7908334500698;301;7,94;16;0;0;17/11/2021;0;0;;41;53;6;6;0;0;A;T;33043000;102;0;;;;;;N;;;;;5102;5102;2001200;999;Cadastro inclu�do automaticamente, atrav�s de arquivo XML (NFe). Nota fiscal/S�rie: 3062/3
649;;;649;OLEO DE CUTICULA PSIU MORANGO;UN;5,34;9,9;03/07/2021;;;28;UNIQUE NAIL COSMETICOS LTDA EPP;0;Mercadoria para revenda;;;;;;;;;;5,34;0;1;0;10/02/2021;0;;;41;53;99;99;;;A;T;33043000;102;0;;;;;;N;;;;;5102;5102;2001200;999;Cadastro inclu�do automaticamente, atrav�s de arquivo XML (NFe). Nota fiscal/S�rie: 3062/3
650;;;650;Psiu - Remove 100 ML;UN;14,95;29,9;04/12/2021;;;28;UNIQUE NAIL COSMETICOS LTDA EPP;0;Mercadoria para revenda;;;;;64;UNHA;;7908334500568;17908334500565;14,95;7;0;0;15/09/2021;0;0;;41;53;6;6;0;0;A;T;33043000;102;0;;;;;;N;;;;;5102;5102;2001200;999;Cadastro inclu�do automaticamente, atrav�s de arquivo XML (NFe). Nota fiscal/S�rie: 3062/3
651;;;651;Psiu - Fibra Fio a Fio c/ 50 unidades;UN;9,95;19,9;10/02/2023;;;28;UNIQUE NAIL COSMETICOS LTDA EPP;0;Mercadoria para revenda;;;;;64;UNHA;;7908334501510;17908334501517;10,41;0;0;0;15/09/2021;0;;;41;53;99;99;;;A;T;70191900;102;0;;;;;;N;;;;;5102;5102;2805700;999;Cadastro inclu�do automaticamente, atrav�s de arquivo XML (NFe). Nota fiscal/S�rie: 3062/3
661;;;661;Matizador Azul - Golfinho 150ml;UN;10;18,9;15/09/2021;;;29;P&D CHEMICALS COMERCIO DE COSMETICOS LTDA;0;Mercadoria para revenda;;;;;;;;7898449394360;;10;0;0;0;04/02/2021;0;0;;41;53;6;6;0;0;A;T;33059000;102;0;;;;;;N;;;;;5102;5102;2002000;999;Cadastro inclu�do automaticamente, atrav�s de arquivo XML (NFe). Nota fiscal/S�rie: 30555/1
662;;;662;MATIZADOR KAMALEAO COLOR TUBARAO BRANCO 150 ML;UN;11,6433;18,9;22/08/2022;;;59;KAMALEAO COLOR COMERCIO DE COSMETICOS EIRELI;0;Mercadoria para revenda;;;;;;;;7898449394346;501504346;11,64;0;0;0;24/03/2022;0;0;;41;53;6;6;0;0;A;T;33059000;102;0;;;;;;N;;;;0;5102;5102;2002000;999;Cadastro inclu�do automaticamente, atrav�s de arquivo XML (NFe). Nota fiscal/S�rie: 30555/1
663;;;663;MATIZADOR KAMALEAO COLOR COALA CINZA 150 ML;UN;11,81;18,9;28/10/2022;;;59;KAMALEAO COLOR COMERCIO DE COSMETICOS EIRELI;0;Mercadoria para revenda;;;;;62;CABELO;;7898449394353;501504353;11,56;1;0;0;19/07/2022;0;0;;41;53;6;6;0;0;A;T;33059000;102;0;;;;;;N;;;;0;5102;5102;2002000;999;Cadastro inclu�do automaticamente, atrav�s de arquivo XML (NFe). Nota fiscal/S�rie: 30555/1
664;;;664;MATIZADOR KAMALEAO COLOR TUBARAO BRANCO 300 ML;UN;17,5;32,9;25/02/2022;;;29;P&D CHEMICALS COMERCIO DE COSMETICOS LTDA;0;Mercadoria para revenda;;;;;62;CABELO;;7898962932377;;17,5;3;0;0;04/02/2021;0;0;;41;53;6;6;0;0;A;T;33059000;102;0;;;;;;N;;;;;5102;5102;2002000;999;Cadastro inclu�do automaticamente, atrav�s de arquivo XML (NFe). Nota fiscal/S�rie: 30555/1
665;;;665;MATIZADOR KAMALEAO COLOR CAVALO MARINHO 150 ML;UN;11,6467;18,9;08/06/2022;;;59;KAMALEAO COLOR COMERCIO DE COSMETICOS EIRELI;0;Mercadoria para revenda;;;;;62;CABELO;;7898449394384;;11,65;2;0;0;24/03/2022;0;0;;41;53;6;6;0;0;A;T;33059000;102;0;;;;;;N;;;;0;5102;5102;2002000;999;Cadastro inclu�do automaticamente, atrav�s de arquivo XML (NFe). Nota fiscal/S�rie: 30555/1
666;;;666;MASCARA KAMALEAO COLOR FLAMINGO 150 ML;UN;37,88;57,9;09/10/2023;;;59;KAMALEAO COLOR COMERCIO DE COSMETICOS EIRELI;0;Mercadoria para revenda;;;;;62;CABELO;;7898449393561;101503561;37,88;2;0;0;11/11/2022;0;0;;41;53;6;6;0;0;A;T;33059000;102;0;;;;;;N;;;;0;5102;5102;2002000;999;Cadastro inclu�do automaticamente, atrav�s de arquivo XML (NFe). Nota fiscal/S�rie: 30555/1
774;;;774;LIXA DE UNHA DESCARTAVEL DE USO MANUAL;UN;1,25;5;07/05/2021;;;31;CH ACESSORIOS LTDA;0;Mercadoria para revenda;;;;;;;;;;1,25;0;1;0;05/02/2021;0;;;41;53;99;99;;;A;T;68053090;102;0;;;;;;N;;;;;5102;5102;1100900;999;Cadastro inclu�do automaticamente, atrav�s de arquivo XML (NFe). Nota fiscal/S�rie: 660/1
775;;;775;ENFEITE;UN;3;19,9;;;;31;CH ACESSORIOS LTDA;0;Mercadoria para revenda;;;;;64;UNHA;;7758258037769;;3;0;0;0;05/02/2021;0;;;41;53;99;99;;;A;T;39264000;102;0;;;;;;N;;;;;5102;5102;2803700;999;Cadastro inclu�do automaticamente, atrav�s de arquivo XML (NFe). Nota fiscal/S�rie: 660/1
684;;;684;CABINE 48W BRANCA SUN 5 GIRL FATALE FJ7004;UN;10;99,9;10/06/2021;;;11;FAN FLORES LTDA;0;Mercadoria para revenda;;;;;;;4568765;2010000107850;;10;0;1;0;25/05/2021;0;;;41;53;99;99;;;A;T;82142000;102;0;;;;;;N;;;;;5102;5102;;999;"
Cadastro inclu�do automaticamente, atrav�s de arquivo XML (NFe). Nota fiscal/S�rie: 4539/1"
685;;;685;CABINE SUN 5 48W METALIZADA ROSA;UN;12;129;10/11/2021;;;11;FAN FLORES LTDA;0;Mercadoria para revenda;;;;;64;UNHA;;7908244602048;;12;1;0;0;09/02/2021;0;;;41;53;99;99;;;A;T;82142000;102;0;;;;;;N;;;;;5102;5102;;999;Cadastro inclu�do automaticamente, atrav�s de arquivo XML (NFe). Nota fiscal/S�rie: 4539/1
686;;;686;CABINE SUN ONE FJ7058;UN;10;120;17/07/2021;;;11;FAN FLORES LTDA;0;Mercadoria para revenda;;;;;;;;;;10;0;0;0;09/02/2021;0;;;41;53;99;99;;;A;T;82142000;102;0;;;;;;N;;;;;5102;5102;;999;Cadastro inclu�do automaticamente, atrav�s de arquivo XML (NFe). Nota fiscal/S�rie: 4539/1
687;;;687;MOUSSE CLESS GLOSS 140 ML;UN;14,54;24,9;30/01/2023;;;68;CLESS COMERCIO DE COSMETICOS S.A.;0;Mercadoria para revenda;;;;;62;CABELO;;7896046702649;;14,19;5;0;0;14/07/2021;0;0;;41;53;6;6;0;0;A;T;33059000;102;0;;;;;;N;;;;;5102;5102;2002000;999;Cadastro inclu�do automaticamente, atrav�s de arquivo XML (NFe). Nota fiscal/S�rie: 2696155/1
667;;;667;CHINELO POLI DESCARTAVEL EVA 10 PARES;UN;23,1;39,9;25/04/2022;;;36;DISPOL DISTRIBUIDORA EIRELI - ME;0;Mercadoria para revenda;;;;;64;UNHA;;7898912340276;10768;23,1;4;0;0;17/09/2021;0;;;41;53;99;99;;;A;T;39262000;102;0;;;;;;N;;;;;5102;5102;;999;Cadastro inclu�do automaticamente, atrav�s de arquivo XML (NFe). Nota fiscal/S�rie: 2078/1
668;;;668;ESPATULA POLI INOX LONGA 104293;UN;6,8133;12,99;22/07/2023;;;145;DISPOLI COMERCIO DE COSMETICOS LTDA;0;Mercadoria para revenda;;;;;64;UNHA;;602883242937;104293;6,76;16;0;0;18/10/2022;0;;;41;53;99;99;;;A;T;82142000;102;0;;;;;;N;;;;0;5102;5102;2005500;999;Cadastro inclu�do automaticamente, atrav�s de arquivo XML (NFe). Nota fiscal/S�rie: 2078/1
669;;;669;ESPATULA POLI INOX 10026;UN;5,355;10,99;12/12/2023;;;145;DISPOLI COMERCIO DE COSMETICOS LTDA;0;Mercadoria para revenda;;;;;64;UNHA;;751320340269;10026;5,35;0;0;0;18/10/2022;0;;;41;53;99;99;;;A;T;82142000;102;0;;;;;;N;;;;0;5102;5102;2005500;999;Cadastro inclu�do automaticamente, atrav�s de arquivo XML (NFe). Nota fiscal/S�rie: 2078/1
670;;;670;MOLDE PARA SOBRANCELHA POLI;UN;4,18;7,9;26/09/2021;;;36;DISPOL DISTRIBUIDORA EIRELI - ME;0;Mercadoria para revenda;;;;;63;PELE;;751320472861;10286;4,18;5;0;0;04/03/2021;0;;;41;53;99;99;;;A;T;39249000;102;0;;;;;;N;;;;;5102;5102;;999;Cadastro inclu�do automaticamente, atrav�s de arquivo XML (NFe). Nota fiscal/S�rie: 2078/1
671;;;671;LAMINA DE BARBEAR FAITER 5 UN;UN;2,2373;5;01/04/2023;;;36;DISPOL DISTRIBUIDORA EIRELI - ME;0;Mercadoria para revenda;;;;;63;PELE;;7898372951418;101001;2,23;0;0;0;05/07/2022;0;;;41;53;99;99;;;A;T;82122010;102;0;;;;;;N;;;;0;5102;5102;2006400;999;Cadastro inclu�do automaticamente, atrav�s de arquivo XML (NFe). Nota fiscal/S�rie: 2078/1
672;;;672;LIXA PARA PE POLI EVA ANATOMICA 13MM;UN;3,6;6,9;18/02/2022;;;3;POLI COMERCIO DE DESCARTAVEIS LTDA;0;Mercadoria para revenda;;;;;64;UNHA;;602883243071;;3,6;3;0;0;09/02/2021;0;;;41;53;99;99;;;A;T;68053090;102;0;;;;;;N;;;;;5102;5102;;999;Cadastro inclu�do automaticamente, atrav�s de arquivo XML (NFe). Nota fiscal/S�rie: 2078/1
673;;;673;LIXA PARA PE POLI EVA RETA 13MM;UN;3,6;6,5;05/11/2022;;;36;DISPOL DISTRIBUIDORA EIRELI - ME;0;Mercadoria para revenda;;;;;64;UNHA;;751320149985;10998;3,6;5;0;0;14/10/2021;0;0;;41;53;6;6;0;0;A;T;33043000;102;0;;;;;;N;;;;;5102;5102;2800600;999;Cadastro inclu�do automaticamente, atrav�s de arquivo XML (NFe). Nota fiscal/S�rie: 2078/1
674;;;674;NAVALHETE PARA SOBRANCELHA POLI;UN;3,25;5,9;14/12/2023;;;3;POLI COMERCIO DE DESCARTAVEIS LTDA;0;Mercadoria para revenda;;;;;63;PELE;;736532078056;;3,25;3;0;0;09/02/2021;0;;;41;53;99;99;;;A;T;82121010;102;0;;;;;;N;;;;;5102;5102;;999;Cadastro inclu�do automaticamente, atrav�s de arquivo XML (NFe). Nota fiscal/S�rie: 2078/1
675;;;675;PALITO POLI BAMBU 2 PONTAS 50un 10830;UN;4,9858;8,99;14/12/2023;;;145;DISPOLI COMERCIO DE COSMETICOS LTDA;0;Mercadoria para revenda;;;;;64;UNHA;;736532078308;10830;4,95;4;0;0;09/02/2023;0;;;41;53;99;99;;;A;T;44042000;102;0;;;;;;N;;;;0;5102;5102;;999;Cadastro inclu�do automaticamente, atrav�s de arquivo XML (NFe). Nota fiscal/S�rie: 2078/1
676;;;676;PALITO POLI BAMBU PONTA E CHANFRO 50un 10776;UN;4,455;8,99;16/08/2023;;;145;DISPOLI COMERCIO DE COSMETICOS LTDA;0;Mercadoria para revenda;;;;;64;UNHA;;751320457769;10776;4,46;10;0;0;28/11/2022;0;;;41;53;99;99;;;A;T;44042000;102;0;;;;;;N;;;;0;5102;5102;2805700;999;Cadastro inclu�do automaticamente, atrav�s de arquivo XML (NFe). Nota fiscal/S�rie: 2078/1
677;;;677;BORRIFADOR POLI;UN;7,61;0,01;20/04/2021;;;3;POLI COMERCIO DE DESCARTAVEIS LTDA;0;Mercadoria para revenda;;;;;;;;;;7,61;0;1;0;09/02/2021;0;;;41;53;99;99;;;A;T;39233000;102;0;;;;;;N;;;;;5102;5102;;999;Cadastro inclu�do automaticamente, atrav�s de arquivo XML (NFe). Nota fiscal/S�rie: 2078/1
678;;;678;TOUCA PARA BANHO COM 1 UNIDADE;UN;1,1883;1,99;06/06/2023;;;145;DISPOLI COMERCIO DE COSMETICOS LTDA;0;Mercadoria para revenda;;;;;62;CABELO;;606529814410;10441;1,19;13;0;0;18/10/2022;0;;;41;53;99;99;;;A;T;65069100;102;0;;;;;;N;;;;0;5102;5102;;999;Cadastro inclu�do automaticamente, atrav�s de arquivo XML (NFe). Nota fiscal/S�rie: 2078/1
679;;;679;TOUCA POLI BANHO 2un 10440;UN;2,34;4,99;11/11/2023;;;145;DISPOLI COMERCIO DE COSMETICOS LTDA;0;Mercadoria para revenda;;;;;62;CABELO;;606529814403;10440;2,34;7;0;0;18/10/2022;0;;;41;53;99;99;;;A;T;65069100;102;0;;;;;;N;;;;0;5102;5102;;999;Cadastro inclu�do automaticamente, atrav�s de arquivo XML (NFe). Nota fiscal/S�rie: 2078/1
680;;;680;MOLDE DE PAPEL DOURADO 500un;UN;3,9;39,9;25/02/2023;;;153;GANESHA DISTRIBUIDORA DE COSMETICOS LTDA;0;Mercadoria para revenda;;;;;64;UNHA;;;44957131;4,5;10;0;0;31/01/2023;0;;;41;53;99;99;;;A;T;39199090;102;0;;;;;;N;;;;0;5102;5102;1000800;999;Cadastro inclu�do automaticamente, atrav�s de arquivo XML (NFe). Nota fiscal/S�rie: 2078/1
681;;;681;TOUCA POLI LUXO METALIZADA ISOPOR;UN;5,985;9,99;24/06/2023;;;145;DISPOLI COMERCIO DE COSMETICOS LTDA;0;Mercadoria para revenda;;;;;62;CABELO;;751320340153;10017;5,94;0;0;0;18/10/2022;0;;;41;53;99;99;;;A;T;65069900;102;0;;;;;;N;;;;0;5102;5102;;999;Cadastro inclu�do automaticamente, atrav�s de arquivo XML (NFe). Nota fiscal/S�rie: 2078/1
682;;;682;TOUCA POLI MECHAS DESCARTAVEL;UN;7,48;12,9;18/01/2022;;;3;POLI COMERCIO DE DESCARTAVEIS LTDA;0;Mercadoria para revenda;;;;;62;CABELO;;736532078360;;7,48;4;0;0;09/02/2021;0;;;41;53;99;99;;;A;T;65069100;102;0;;;;;;N;;;;;5102;5102;;999;Cadastro inclu�do automaticamente, atrav�s de arquivo XML (NFe). Nota fiscal/S�rie: 2078/1
683;;;683;TOUCA POLI MECHAS PVC;UN;3,3;5,9;09/06/2023;;;3;POLI COMERCIO DE DESCARTAVEIS LTDA;0;Mercadoria para revenda;;;;;62;CABELO;;751320340184;;3,3;3;0;0;09/02/2021;0;;;41;53;99;99;;;A;T;65069100;102;0;;;;;;N;;;;;5102;5102;;999;Cadastro inclu�do automaticamente, atrav�s de arquivo XML (NFe). Nota fiscal/S�rie: 2078/1
688;;;688;SPRAY FIXADOR CLESS CARE LISS EXTRA FORTE 250ml;UN;11,7633;19,9;29/09/2021;;;12;NILO TOZZO & CIA LTDA;0;Mercadoria para revenda;;;;;62;CABELO;;7896046701628;;11,76;1;0;0;14/05/2021;0;0;;41;53;6;6;0;0;A;T;33053000;102;0;;;;;;N;;;;;5102;5102;2001900;999;Cadastro inclu�do automaticamente, atrav�s de arquivo XML (NFe). Nota fiscal/S�rie: 2696155/1
689;;;689;SPRAY FIXADOR CLESS CARE LISS EXTRA FORTE 400ml;UN;10,94;26,9;21/12/2021;;;68;CLESS COMERCIO DE COSMETICOS S.A.;0;Mercadoria para revenda;;;;;62;CABELO;;7896046701659;;11,87;10;0;0;21/06/2021;0;0;;41;53;6;6;0;0;A;T;33053000;102;0;;;;;;N;;;;;5102;5102;2001900;999;Cadastro inclu�do automaticamente, atrav�s de arquivo XML (NFe). Nota fiscal/S�rie: 2696155/1
690;;;690;SPRAY CLESS GLOSS 50ml;UN;8,25;18,9;10/09/2022;;;68;CLESS COMERCIO DE COSMETICOS S.A.;0;Mercadoria para revenda;;;;;62;CABELO;;7896046703028;20089;8,41;6;0;0;14/07/2021;0;0;;41;53;6;6;0;0;A;T;33059000;102;0;;;;;;N;;;;;5102;5102;2002000;999;Cadastro inclu�do automaticamente, atrav�s de arquivo XML (NFe). Nota fiscal/S�rie: 2696155/1
691;;;691;ESMALTE RISQUE BIANCO PURISSIMO;UN;3,0367;5,9;20/06/2023;;;12;NILO TOZZO & CIA LTDA;0;Mercadoria para revenda;;;;;64;UNHA;;7891182810012;270540;2,91;0;0;0;11/01/2023;0;0;;41;53;6;6;0;0;A;T;33043000;102;0;;;;;;N;;;;0;5102;5102;2001200;999;Cadastro inclu�do automaticamente, atrav�s de arquivo XML (NFe). Nota fiscal/S�rie: 2696155/1
692;;;692;ESMALTE RISQUE CLASSIC;UN;2,2033;5,9;15/02/2023;;;12;NILO TOZZO & CIA LTDA;0;Mercadoria para revenda;;;;;64;UNHA;;7891182032827;;2,21;0;0;0;24/06/2021;0;0;;41;53;6;6;0;0;A;T;33043000;102;0;;;;;;N;;;;;5102;5102;2001200;999;Cadastro inclu�do automaticamente, atrav�s de arquivo XML (NFe). Nota fiscal/S�rie: 2696155/1
693;;;693;ESMALTE RISQUE PEROLA;UN;2,6883;5,9;01/03/2023;;;12;NILO TOZZO & CIA LTDA;0;Mercadoria para revenda;;;;;64;UNHA;;7891182830027;270573;2,86;0;0;0;18/11/2022;0;0;;41;53;6;6;0;0;A;T;33043000;102;0;;;;;;N;;;;0;5102;5102;2001200;999;Cadastro inclu�do automaticamente, atrav�s de arquivo XML (NFe). Nota fiscal/S�rie: 2696155/1
694;;;694;ESMALTE RISQUE MACA DO AMOR;UN;3,0367;5,9;09/05/2023;;;12;NILO TOZZO & CIA LTDA;0;Mercadoria para revenda;;;;;64;UNHA;;7891182014601;270575;3,04;0;0;0;11/01/2023;0;0;;41;53;6;6;0;0;A;T;33043000;102;0;;;;;;N;;;;0;5102;5102;2001200;999;Cadastro inclu�do automaticamente, atrav�s de arquivo XML (NFe). Nota fiscal/S�rie: 2696155/1
695;;;695;ESMALTE RISQUE PLATINO;UN;2,6883;5,9;27/02/2023;;;12;NILO TOZZO & CIA LTDA;0;Mercadoria para revenda;;;;;;;;7891182830010;270592;2,69;0;0;0;18/11/2022;0;0;;41;53;6;6;0;0;A;T;33043000;102;0;;;;;;N;;;;0;5102;5102;2001200;999;Cadastro inclu�do automaticamente, atrav�s de arquivo XML (NFe). Nota fiscal/S�rie: 2696155/1
696;;;696;ESMALTE RISQUE TECH OLEO SECANTE;UN;3,83;5,9;29/04/2023;;;12;NILO TOZZO & CIA LTDA;0;Mercadoria para revenda;;;;;64;UNHA;;7891182050081;270609;3,49;7;0;0;11/01/2023;0;0;;41;53;6;6;0;0;A;T;33043000;102;0;;;;;;N;;;;0;5102;5102;2001200;999;Cadastro inclu�do automaticamente, atrav�s de arquivo XML (NFe). Nota fiscal/S�rie: 2696155/1
697;;;697;AM KIT TINT 12 21 LOU PLAT IRISE CZ;UN;8,4;17,9;05/06/2021;;;12;NILO TOZZO & CIA LTDA;0;Mercadoria para revenda;;;;;62;CABELO;;7899884213407;;8,4;1;0;0;10/02/2021;0;0;;41;53;6;6;0;0;A;T;33059000;102;0;;;;;;N;;;;;5102;5102;2002200;999;Cadastro inclu�do automaticamente, atrav�s de arquivo XML (NFe). Nota fiscal/S�rie: 2696155/1
698;;;698;AM KIT TINT 12 10 LOURO PLATINA CZ;UN;8,4;17,9;29/04/2021;;;12;NILO TOZZO & CIA LTDA;0;Mercadoria para revenda;;;;;;;;7899884213414;;8,4;0;0;0;10/02/2021;0;0;;41;53;6;6;0;0;A;T;33059000;102;0;;;;;;N;;;;;5102;5102;2002200;999;Cadastro inclu�do automaticamente, atrav�s de arquivo XML (NFe). Nota fiscal/S�rie: 2696155/1
699;;;699;AM KIT TINT 12 00 LOURO PLATINA;UN;9,36;17,9;06/08/2021;;;12;NILO TOZZO & CIA LTDA;0;Mercadoria para revenda;;;;;;;;7899884213438;;9,36;0;0;0;10/02/2021;0;0;;41;53;6;6;0;0;A;T;33059000;102;0;;;;;;N;;;;;5102;5102;2002200;999;Cadastro inclu�do automaticamente, atrav�s de arquivo XML (NFe). Nota fiscal/S�rie: 2696155/1
700;;;700;AM KIT TINT 12 11 LOU PLATINA CZ INTENSO;UN;9,36;17,9;;;;12;NILO TOZZO & CIA LTDA;0;Mercadoria para revenda;;;;;62;CABELO;;7899884213421;;9,36;2;0;0;10/02/2021;0;0;;41;53;6;6;0;0;A;T;33059000;102;0;;;;;;N;;;;;5102;5102;2002200;999;Cadastro inclu�do automaticamente, atrav�s de arquivo XML (NFe). Nota fiscal/S�rie: 2696155/1
701;;;701;COND ALFAPARF INSTANT SOS SECOS 170 ML;UN;14,24;23,99;07/03/2022;;;10;DISTRIBUIDORA OK LTDA;0;Mercadoria para revenda;;;;;62;CABELO;;7899884213780;;13,27;3;0;0;14/02/2022;0;0;;41;53;6;6;0;0;A;T;33059000;102;0;;;;;;N;;;;;5102;5102;2002100;999;Cadastro inclu�do automaticamente, atrav�s de arquivo XML (NFe). Nota fiscal/S�rie: 2696155/1
702;;;702;COND ALFAPARF INSTANT SOS DANIFICADOS 170 ML;UN;14,24;23,99;13/12/2023;;;10;DISTRIBUIDORA OK LTDA;0;Mercadoria para revenda;;;;;62;CABELO;;7899884213797;;13,27;2;0;0;14/02/2022;0;0;;41;53;6;6;0;0;A;T;33059000;102;0;;;;;;N;;;;;5102;5102;2002100;999;Cadastro inclu�do automaticamente, atrav�s de arquivo XML (NFe). Nota fiscal/S�rie: 2696155/1
703;;;703;ESMALTE RISQUE AS MIL PURPURINAS;UN;2,6883;5,9;24/02/2023;;;12;NILO TOZZO & CIA LTDA;0;Mercadoria para revenda;;;;;64;UNHA;;7891182020312;570081;2,66;6;0;0;12/12/2022;0;0;;41;53;6;6;0;0;A;T;33043000;102;0;;;;;;N;;;;0;5102;5102;2001200;999;Cadastro inclu�do automaticamente, atrav�s de arquivo XML (NFe). Nota fiscal/S�rie: 2696155/1
704;;;704;ESMALTE RISQUE GOLD VIBES;UN;2,6983;5,9;13/12/2022;;;12;NILO TOZZO & CIA LTDA;0;Mercadoria para revenda;;;;;64;UNHA;;7891182020145;570096;2,63;0;0;0;30/11/2021;0;0;;41;53;6;6;0;0;A;T;33043000;102;0;;;;;;N;;;;;5102;5102;2001200;999;Cadastro inclu�do automaticamente, atrav�s de arquivo XML (NFe). Nota fiscal/S�rie: 2696155/1
705;;;705;ESMALTE RISQUE MENTALIZA;UN;4,8767;7,9;27/08/2021;;;12;NILO TOZZO & CIA LTDA;0;Mercadoria para revenda;;;;;64;UNHA;;7891350040531;;4,88;0;0;0;23/02/2021;0;0;;41;53;6;6;0;0;A;T;33043000;102;0;;;;;;N;;;;;5102;5102;2001200;999;Cadastro inclu�do automaticamente, atrav�s de arquivo XML (NFe). Nota fiscal/S�rie: 2696155/1
706;;;706;ESMALTE RISQUE PREGUICA DE PADRAO;UN;4,6067;7,9;07/02/2022;;;12;NILO TOZZO & CIA LTDA;0;Mercadoria para revenda;;;;;64;UNHA;;7891350037715;;4,59;4;0;0;26/04/2021;0;0;;41;53;6;6;0;0;A;T;33043000;102;0;;;;;;N;;;;;5102;5102;2001200;999;Cadastro inclu�do automaticamente, atrav�s de arquivo XML (NFe). Nota fiscal/S�rie: 2696155/1
707;;;707;MASCARA KANECHOM 3 EM 1 ARRASA LISOS 1 KG;UN;5,085;9,99;;;;12;NILO TOZZO & CIA LTDA;0;Mercadoria para revenda;;;;;62;CABELO;;7893694002299;;5,09;2;0;0;10/02/2021;0;0;;41;53;6;6;0;0;A;T;33059000;102;0;;;;;;N;;;;;5102;5102;2002100;999;Cadastro inclu�do automaticamente, atrav�s de arquivo XML (NFe). Nota fiscal/S�rie: 2696155/1
708;;;708;CREME CONDICIONANTE 3EM1 POWER CACHOS 1KG**;UN;5,085;9,99;;;;12;NILO TOZZO & CIA LTDA;0;Mercadoria para revenda;;;;;62;CABELO;;7893694002305;;5,09;2;0;0;10/02/2021;0;0;;41;53;6;6;0;0;A;T;33059000;102;0;;;;;;N;;;;;5102;5102;2002100;999;Cadastro inclu�do automaticamente, atrav�s de arquivo XML (NFe). Nota fiscal/S�rie: 2696155/1
776;;;776;BROCA DIAMANTADA *;UN;2;12,9;21/09/2021;;;31;CH ACESSORIOS LTDA;0;Mercadoria para revenda;;;;;;;;;;2;0;1;0;05/02/2021;0;;;41;53;99;99;;;A;T;35061090;102;0;;;;;;N;;;;;5102;5102;;999;Cadastro inclu�do automaticamente, atrav�s de arquivo XML (NFe). Nota fiscal/S�rie: 660/1
